commitID,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,bug
3,1,1,3,0.579380164,94,0,480,1,14,1
7,1,1,1,0,0,0,398,1,1,1
10,2,2,38,0.769776151,92,73,366,1,21,0
12,1,1,16,0.760777157,18,18,583,1,20,0
13,2,2,33,0.816160319,96,42,403,0,21,0
15,2,2,33,0.816160319,96,42,403,1,21,0
19,2,2,9,0.650241612,87,71,218,0,19,0
27,2,2,8,0.795895353,81,24,393,1,27,1
28,2,2,3,0.873908094,79,8,168,1,9,1
29,2,2,10,0.761024475,14,7,544,1,26,1
31,4,4,63,0.99530485,0,4,256,1,26,0
34,2,2,3,0.770097148,116,46,181,1,6,1
43,2,2,41,0.800417597,28,20,288,0,22,0
46,2,2,12,0.614774028,508,508,185,0,23,0
50,3,3,22,0.815714726,59,34,379,0,22,0
55,1,1,1,0,26,26,39,1,6,0
57,2,2,2,1,3,3,309,1,15,1
58,2,2,7,0.803756276,6,4,761,1,27,1
60,2,2,4,0.825011211,7,2,621,1,25,1
62,2,2,3,0.94639463,9,3,229,1,14,1
63,2,2,2,1,10,10,289,1,13,1
67,2,2,9,0.552052726,125,88,608,1,25,1
74,2,2,7,0.662681519,8,27,644,0,24,1
77,2,2,7,0.780368658,43,11,614,1,22,1
80,2,2,38,0.907421027,19,7,242,1,21,1
83,2,2,10,0.725405511,34,29,480,1,19,1
86,2,2,2,1,519,35,316,1,2,1
87,2,2,2,1,9,9,224,0,1,0
89,2,2,5,0.01406041,303,279,203,1,1,1
92,2,2,2,1,6,5,878,1,2,0
94,2,2,2,1,165,22,781,0,2,0
98,2,2,2,1,90,111,575,1,2,0
99,2,2,2,1,165,84,582,0,2,0
101,2,2,2,1,509,50,556,0,2,0
102,2,2,2,1,432,96,405,0,2,0
144,1,1,1,0,17,10,291,0,14,0
146,2,4,7,0.787305878,39,17,273,1,39,0
147,2,2,2,0.353359335,24,6,254,1,13,0
149,2,3,5,0.743868916,43,5,300,1,36,1
152,2,2,3,0.660085513,221,135,180,1,18,0
156,1,1,1,0,4,4,265,1,13,0
159,2,2,3,0.886859507,4,4,654,1,36,0
161,1,1,1,0,55,4,273,1,13,1
162,1,1,1,0,181,200,265,1,13,1
165,1,1,1,0,4,4,273,1,13,0
168,1,1,1,0,12,0,253,1,12,0
171,1,1,1,0,8,8,240,1,11,0
174,1,1,1,0,29,4,240,1,10,1
175,3,3,6,0.859661049,7,7,267,1,23,0
178,2,2,5,0.56020181,88,5,650,1,35,1
179,1,1,1,0,0,5,204,1,8,0
181,1,1,1,0,40,5,198,1,8,0
183,2,2,2,1,4,4,460,1,11,1
184,2,2,2,0.999411065,104,17,144,1,5,1
186,2,2,3,0.579318705,40,50,231,1,29,1
192,1,1,1,0,7,7,143,1,3,0
193,2,2,22,0.633141823,83,54,336,1,32,1
195,2,2,2,0.938315352,91,43,116,1,3,1
196,1,1,3,0.656704548,13,3,500,1,26,1
197,2,3,12,0.393931241,23,37,237,1,30,1
198,1,1,1,0,375,0,112,1,1,1
201,2,2,7,0.628634559,38,19,521,0,28,0
203,1,1,1,0,4,4,240,1,13,0
204,1,1,1,0,4,4,240,1,13,0
212,1,1,2,0.914018511,179,88,148,1,32,1
213,2,2,4,0.618467693,62,58,483,1,34,1
215,1,1,1,0,37,10,191,1,31,1
216,2,2,3,0.743110336,59,41,333,1,33,1
218,1,1,1,0,0,50,222,1,31,0
221,1,1,18,0.942207766,26,21,457,1,39,1
223,1,1,2,1,1,1,713,1,31,0
224,2,2,2,0.997772472,29,29,313,1,32,1
226,2,3,12,0.896511155,10,15,383,1,35,1
235,2,2,2,0.961236605,21,9,216,1,29,1
237,1,1,1,0,9,0,234,1,29,0
238,1,1,1,0,4,4,232,1,29,1
241,1,1,1,0,39,13,231,1,28,1
244,1,1,1,0,4,4,225,1,27,1
246,1,1,1,0,35,0,227,1,27,1
248,1,1,2,0.918295834,1,2,539,1,31,0
249,1,1,2,0.845350937,4,5,615,1,28,0
250,1,1,2,0.970950594,2,2,616,1,28,1
251,1,1,1,0,4,4,228,1,25,0
252,2,3,15,0.78239414,29,30,334,1,31,1
255,2,2,11,0.830696754,21,21,382,1,29,1
256,2,3,14,0.586405004,52,91,340,1,28,1
257,1,1,1,0,2,2,489,1,24,1
258,2,2,7,0.811836497,17,30,457,1,27,1
261,2,2,6,0.148260447,12,102,312,1,25,1
